title,gold,predicted,missed,spurious
Senior System Software Engineer - DevOps and Infrastructure Auto,Site Reliability,Site Reliability,,
"Senior Solutions Architect, CSP System","Cloud Infrastructure, Solutions Architecture","Cloud Infrastructure, Solutions Architecture",,
Senior Firmware Engineer,Firmware,Embedded Systems,Firmware,Embedded Systems
"Product Marketing Manager, Quantum Computing Platform",-,-,,
Senior DL Compiler Engineer -CUDA Tile,"CUDA, Compilers, Deep Learning","CUDA, Compilers, Deep Learning",,
Senior Software Release Manager - Networking Verification Engine,Networking,"Networking, Silicon Verification",,Silicon Verification
Senior Verification Engineer - Scalable Coherency Fabric,Silicon Verification,Silicon Verification,,
"Senior Machine Learning Engineer, Perception - Autonomous Drivin","Autonomous Vehicles, Machine Learning",Machine Learning,Autonomous Vehicles,
"Senior System Software Engineer, Client Embedded Controller",Embedded Systems,-,Embedded Systems,
Insider Threat Detection Engineer,Cybersecurity,Cybersecurity,,
"Senior Solutions Architect, NVIDIA Cloud Partners - Telco","Cloud Infrastructure, Solutions Architecture","Cloud Infrastructure, Solutions Architecture",,
Senior Firmware Micro-Architect,Firmware,Embedded Systems,Firmware,Embedded Systems
"Solutions Architect, AI Factory Infrastructure",Solutions Architecture,Solutions Architecture,,
"Senior Software Engineer, CUDA Python Core Libraries","CUDA, Python","CUDA, Python",,
Principal Software Engineer - Infrastructure,-,-,,
SOC Clock Distribution Engineer,SoC Design,SoC Design,,
DPU Performance Validation Engineer,"DPU and Offload, Performance Engineering","DPU and Offload, Performance Engineering",,
Senior Power Integrity Engineer - LPU Packaging,Signal and Power Integrity,Signal and Power Integrity,,
"Solutions Architect, AI and ML","Machine Learning, Solutions Architecture","Machine Learning, Solutions Architecture",,
Senior SRAM Engineer,-,-,,
SOC IP Methodology Engineer - Custom SOC,SoC Design,SoC Design,,
Physical Design Backend STA Engineer,Physical Design,Physical Design,,
"Senior Technical Program Manager, Data Center - Engineering Oper","Datacenter Systems, Technical Program Management",Datacenter Systems,Technical Program Management,
ASIC Verification Engineer - New College Grad 2026,"Computer Architecture, Silicon Verification, SoC Design","Computer Architecture, Silicon Verification",,
"Senior Solution Engineer, Networking",Networking,Networking,,
"Senior Solutions Architect, Higher Education and Research, Multi",Solutions Architecture,"Digital Twin and Simulation, Solutions Architecture",,Digital Twin and Simulation
"Senior Solutions Architect, Generative AI","Generative AI, Solutions Architecture","LLMs, Solutions Architecture",Generative AI,LLMs
Applied AI Engineer,-,-,,
"Senior Software Architect, RISC-V Networking Accelerator",Networking,Networking,,
Senior Software Technical Program Manager,Technical Program Management,-,Technical Program Management,
SAI Software Design Engineer,-,-,,
Senior Corporate Counsel,-,-,,
Senior Customer Success Operations Manager - Technology,-,-,,
"Senior Deep Learning Engineer, Accuracy Evaluation",Deep Learning,Deep Learning,,
"Applied Machine Learning Engineer, Circuit Design - New College ","Analog and Mixed Signal, Machine Learning","Analog and Mixed Signal, Machine Learning",,
Senior Field Application Engineer - AI Factory Deployment,-,-,,
"System Software Engineer, UEFI Firmware",Firmware,Embedded Systems,Firmware,Embedded Systems
Senior Customer Program Manager - OEM,-,-,,
"Senior Solutions Architect, AI Infrastructure",Solutions Architecture,Solutions Architecture,,
"Senior ASIC Verification Engineer, Coherent High Speed Interconn","Computer Architecture, Silicon Verification, SoC Design","Computer Architecture, Silicon Verification",,
