job_id,Company,Title,clean_title,Category,Location,posting_date,posting_year_month,posting_date_is_simulated,Responsibilities,Minimum Qualifications,Preferred Qualifications,raw_text,clean_text,tokens,token_count
JOB00000,Google,Google Cloud Program Manager,google cloud program manager,Program Management,Singapore,2024-06-12,2024-06,True,"Shape, shepherd, ship, and show technical programs designed to support the work of Cloud Customer Engineers and Solutions Architects.
Measure and report on key metrics tied to those programs to identify any need to change course, cancel, or scale the programs from a regional to global platform.
Communicate status and identify any obstacles and paths for resolution to stakeholders, including those in senior roles, in a transparent, regular, professional and timely manner.
Establish expectations and rationale on deliverables for stakeholders and program contributors.
Provide program performance feedback to teams in Product, Engineering, Sales, and Marketing (among others) to enable efficient cross-team operations.","BA/BS degree or equivalent practical experience.
3 years of experience in program and/or project management in cloud computing, enterprise software and/or marketing technologies.","Experience in the business technology market as a program manager in SaaS, cloud computing, and/or emerging technologies.
Significant cross-functional experience across engineering, sales, and marketing teams in cloud computing or related technical fields.
Proven successful program outcomes from idea to launch in multiple contexts throughout your career.
Ability to manage the expectations, demands and priorities of multiple internal stakeholders based on overarching vision and success for global team health.
Ability to work under pressure and possess flexibility with changing needs and direction in a rapidly-growing organization.
Strong organization and communication skills.","Google Cloud Program Manager. Shape, shepherd, ship, and show technical programs designed to support the work of Cloud Customer Engineers and Solutions Architects.
Measure and report on key metrics tied to those programs to identify any need to change course, cancel, or scale the programs from a regional to global platform.
Communicate status and identify any obstacles and paths for resolution to stakeholders, including those in senior roles, in a transparent, regular, professional and timely manner.
Establish expectations and rationale on deliverables for stakeholders and program contributors.
Provide program performance feedback to teams in Product, Engineering, Sales, and Marketing (among others) to enable efficient cross-team operations. BA/BS degree or equivalent practical experience.
3 years of experience in program and/or project management in cloud computing, enterprise software and/or marketing technologies. Experience in the business technology market as a program manager in SaaS, cloud computing, and/or emerging technologies.
Significant cross-functional experience across engineering, sales, and marketing teams in cloud computing or related technical fields.
Proven successful program outcomes from idea to launch in multiple contexts throughout your career.
Ability to manage the expectations, demands and priorities of multiple internal stakeholders based on overarching vision and success for global team health.
Ability to work under pressure and possess flexibility with changing needs and direction in a rapidly-growing organization.
Strong organization and communication skills.",google cloud program manager. shape shepherd ship and show technical programs designed to support the work of cloud customer engineers and solutions architects. measure and report on key metrics tied to those programs to identify any need to change course cancel or scale the programs from a regional to global platform. communicate status and identify any obstacles and paths for resolution to stakeholders including those in senior roles in a transparent regular professional and timely manner. establish expectations and rationale on deliverables for stakeholders and program contributors. provide program performance feedback to teams in product engineering sales and marketing among others to enable efficient cross-team operations. ba/bs degree or equivalent practical experience. 3 years of experience in program and/or project management in cloud computing enterprise software and/or marketing technologies. experience in the business technology market as a program manager in saas cloud computing and/or emerging technologies. significant cross-functional experience across engineering sales and marketing teams in cloud computing or related technical fields. proven successful program outcomes from idea to launch in multiple contexts throughout your career. ability to manage the expectations demands and priorities of multiple internal stakeholders based on overarching vision and success for global team health. ability to work under pressure and possess flexibility with changing needs and direction in a rapidly-growing organization. strong organization and communication skills.,google cloud program manager shape shepherd ship show technical program designed support work cloud customer engineer solution architect measure report key metric tied program identify need change course cancel scale program regional global platform communicate status identify obstacle path resolution stakeholder including senior role transparent regular professional timely manner establish expectation rationale deliverable stakeholder program contributor provide program performance feedback team product engineering sale marketing among others enable efficient cross-team operation ba/bs degree equivalent practical experience year experience program and/or project management cloud computing enterprise software and/or marketing technology experience business technology market program manager saas cloud computing and/or emerging technology significant cross-functional experience across engineering sale marketing team cloud computing related technical field proven successful program outcome idea launch multiple context throughout career ability manage expectation demand priority multiple internal stakeholder based overarching vision success global team health ability work pressure possess flexibility changing need direction rapidly-growing organization strong organization communication skill,153
JOB00001,Google,"Supplier Development Engineer (SDE), Cable/Connector",supplier development engineer sde cable/connector,Manufacturing & Supply Chain,"Shanghai, China",2023-10-05,2023-10,True,"Drive cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into mass production.
Collaborate with suppliers and Engineering teams in assessing process technologies based on project requirements, and propose and develop the manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and validation plans for engineering builds and mass production.
Drive project technical and operational issues with material, process, fixtures, equipment, etc. during the NPI phase to enable delivery of a mature product and manufacturing process into mass production. Support/drive continuous improvement efforts in the supply chain.
Lead suppliers by providing technical direction to establish and validate (utilizing statistical tools) process capability during the NPI phase for consistently delivering a quality product in mass production.
Utilize DOE’s, FMEA and other Industry standard tools to proactively identify and address risks and optimize process parameters.","BS degree in an Engineering discipline or equivalent practical experience.
7 years of experience in Cable/Connector Design or Manufacturing in an NPI role.
Experience working with Interconnect Engineering and Product Design (PD)/Mechanical Engineer in developing, manufacturing and testing.
Ability to speak and write in English and Mandarin fluently and idiomatically.","BSEE, BSME or BSIE degree.
Experience of using Statistics tools for Data analysis, e.g. distribution histogram/pareto chart, process control chart, Design of Experiment (DOE), Correlation Analysis, etc.
Demonstrated knowledge in PCBA manufacturing process and quality control.
Familar with cable/connector related components' manufacturing: moldling, stamping, die-casting, LIM, MIM process and materials.
Self starter with innovation, integrity and attention to detail.
Ability to travel up to 50% of the time","Supplier Development Engineer (SDE), Cable/Connector. Drive cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into mass production.
Collaborate with suppliers and Engineering teams in assessing process technologies based on project requirements, and propose and develop the manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and validation plans for engineering builds and mass production.
Drive project technical and operational issues with material, process, fixtures, equipment, etc. during the NPI phase to enable delivery of a mature product and manufacturing process into mass production. Support/drive continuous improvement efforts in the supply chain.
Lead suppliers by providing technical direction to establish and validate (utilizing statistical tools) process capability during the NPI phase for consistently delivering a quality product in mass production.
Utilize DOE’s, FMEA and other Industry standard tools to proactively identify and address risks and optimize process parameters. BS degree in an Engineering discipline or equivalent practical experience.
7 years of experience in Cable/Connector Design or Manufacturing in an NPI role.
Experience working with Interconnect Engineering and Product Design (PD)/Mechanical Engineer in developing, manufacturing and testing.
Ability to speak and write in English and Mandarin fluently and idiomatically. BSEE, BSME or BSIE degree.
Experience of using Statistics tools for Data analysis, e.g. distribution histogram/pareto chart, process control chart, Design of Experiment (DOE), Correlation Analysis, etc.
Demonstrated knowledge in PCBA manufacturing process and quality control.
Familar with cable/connector related components' manufacturing: moldling, stamping, die-casting, LIM, MIM process and materials.
Self starter with innovation, integrity and attention to detail.
Ability to travel up to 50% of the time",supplier development engineer sde cable/connector. drive cross-functional activities in the supply chain for overall technical operational readiness in all npi phases leading into mass production. collaborate with suppliers and engineering teams in assessing process technologies based on project requirements and propose and develop the manufacturing blueprint including process flow equipment/fixture designs implementation schedules and validation plans for engineering builds and mass production. drive project technical and operational issues with material process fixtures equipment etc. during the npi phase to enable delivery of a mature product and manufacturing process into mass production. support/drive continuous improvement efforts in the supply chain. lead suppliers by providing technical direction to establish and validate utilizing statistical tools process capability during the npi phase for consistently delivering a quality product in mass production. utilize doe s fmea and other industry standard tools to proactively identify and address risks and optimize process parameters. bs degree in an engineering discipline or equivalent practical experience. 7 years of experience in cable/connector design or manufacturing in an npi role. experience working with interconnect engineering and product design pd /mechanical engineer in developing manufacturing and testing. ability to speak and write in english and mandarin fluently and idiomatically. bsee bsme or bsie degree. experience of using statistics tools for data analysis e.g. distribution histogram/pareto chart process control chart design of experiment doe correlation analysis etc. demonstrated knowledge in pcba manufacturing process and quality control. familar with cable/connector related components manufacturing moldling stamping die-casting lim mim process and materials. self starter with innovation integrity and attention to detail. ability to travel up to 50 of the time,supplier development engineer sde cable/connector drive cross-functional activity supply chain overall technical operational readiness npi phase leading mass production collaborate supplier engineering team assessing process technology based project requirement propose develop manufacturing blueprint including process flow equipment/fixture design implementation schedule validation plan engineering build mass production drive project technical operational issue material process fixture equipment etc npi phase enable delivery mature product manufacturing process mass production support/drive continuous improvement effort supply chain lead supplier providing technical direction establish validate utilizing statistical tool process capability npi phase consistently delivering quality product mass production utilize doe fmea industry standard tool proactively identify address risk optimize process parameter b degree engineering discipline equivalent practical experience year experience cable/connector design manufacturing npi role experience working interconnect engineering product design pd /mechanical engineer developing manufacturing testing ability speak write english mandarin fluently idiomatically bsee bsme bsie degree experience using statistic tool data analysis e.g distribution histogram/pareto chart process control chart design experiment doe correlation analysis etc demonstrated knowledge pcba manufacturing process quality control familar cable/connector related component manufacturing moldling stamping die-casting lim mim process material self starter innovation integrity attention detail ability travel time,189
JOB00002,Google,"Data Analyst, Product and Tools Operations, Google Technical Services",data analyst product and tools operations google technical services,Technical Solutions,"New York, NY, United States",2024-10-17,2024-10,True,"Collect and analyze data to draw insight and identify strategic solutions.
Build consensus by facilitating broad collaboration with clear communication and documentation.
Work with cross-functional stakeholders to gather requirements, manage implementation, and drive delivery of projects.","Bachelor’s degree in Business, Economics, Statistics, Operations Research or related analytical field, or equivalent practical experience.
2 years of work experience in business analysis.
1 year of experience with statistical modeling, forecasting or machine learning. Experience with R, SAS or Python.
1 year of experience developing and manipulating large datasets.","Experience partnering or consulting cross-functionally with senior stakeholders.
Proficiency in a database query language (e.g. SQL).
Ability to manage multiple projects in an ambiguous environment.
Strong presentation and communication skills with the ability to communicate statistical concepts and explain recommendations to non-experts.","Data Analyst, Product and Tools Operations, Google Technical Services. Collect and analyze data to draw insight and identify strategic solutions.
Build consensus by facilitating broad collaboration with clear communication and documentation.
Work with cross-functional stakeholders to gather requirements, manage implementation, and drive delivery of projects. Bachelor’s degree in Business, Economics, Statistics, Operations Research or related analytical field, or equivalent practical experience.
2 years of work experience in business analysis.
1 year of experience with statistical modeling, forecasting or machine learning. Experience with R, SAS or Python.
1 year of experience developing and manipulating large datasets. Experience partnering or consulting cross-functionally with senior stakeholders.
Proficiency in a database query language (e.g. SQL).
Ability to manage multiple projects in an ambiguous environment.
Strong presentation and communication skills with the ability to communicate statistical concepts and explain recommendations to non-experts.",data analyst product and tools operations google technical services. collect and analyze data to draw insight and identify strategic solutions. build consensus by facilitating broad collaboration with clear communication and documentation. work with cross-functional stakeholders to gather requirements manage implementation and drive delivery of projects. bachelor s degree in business economics statistics operations research or related analytical field or equivalent practical experience. 2 years of work experience in business analysis. 1 year of experience with statistical modeling forecasting or machine learning. experience with r sas or python. 1 year of experience developing and manipulating large datasets. experience partnering or consulting cross-functionally with senior stakeholders. proficiency in a database query language e.g. sql . ability to manage multiple projects in an ambiguous environment. strong presentation and communication skills with the ability to communicate statistical concepts and explain recommendations to non-experts.,data analyst product tool operation google technical service collect analyze data draw insight identify strategic solution build consensus facilitating broad collaboration clear communication documentation work cross-functional stakeholder gather requirement manage implementation drive delivery project bachelor degree business economics statistic operation research related analytical field equivalent practical experience year work experience business analysis year experience statistical modeling forecasting machine learning experience r sa python year experience developing manipulating large datasets experience partnering consulting cross-functionally senior stakeholder proficiency database query language e.g sql ability manage multiple project ambiguous environment strong presentation communication skill ability communicate statistical concept explain recommendation non-experts,98
JOB00003,Google,"Developer Advocate, Partner Engineering",developer advocate partner engineering,Developer Relations,"Mountain View, CA, United States",2024-07-18,2024-07,True,"Work one-on-one with the top Android, iOS, and web engineers to build exciting new product/API integrations that drive adoption of Google’s developer platforms.
Conceive new features and ideas that can change how users interact with apps and Google, and help developers build them.
Conduct regular, engineering-focused meetings with developers to help them design new systems, fix bugs, improve UX, and solve complex code issues.
Work on the source code of Google's products with other engineers to identify, reproduce, and/or fix bugs that are affecting developers.","BA/BS degree in Computer Science or equivalent practical experience.
Experience working directly with partners.
Programming experience in one or more of the following languages/platforms: Android, Java, Kotlin, iOS, Javascript.","Experience as a software developer, architect, technology advocate, CTO, or consultant working with web or mobile technologies.
Experience working with third parties.
Experience interacting with clients or internal stakeholders.
Knowledge of web application or mobile application development landscapes.","Developer Advocate, Partner Engineering. Work one-on-one with the top Android, iOS, and web engineers to build exciting new product/API integrations that drive adoption of Google’s developer platforms.
Conceive new features and ideas that can change how users interact with apps and Google, and help developers build them.
Conduct regular, engineering-focused meetings with developers to help them design new systems, fix bugs, improve UX, and solve complex code issues.
Work on the source code of Google's products with other engineers to identify, reproduce, and/or fix bugs that are affecting developers. BA/BS degree in Computer Science or equivalent practical experience.
Experience working directly with partners.
Programming experience in one or more of the following languages/platforms: Android, Java, Kotlin, iOS, Javascript. Experience as a software developer, architect, technology advocate, CTO, or consultant working with web or mobile technologies.
Experience working with third parties.
Experience interacting with clients or internal stakeholders.
Knowledge of web application or mobile application development landscapes.",developer advocate partner engineering. work one-on-one with the top android ios and web engineers to build exciting new product/api integrations that drive adoption of google s developer platforms. conceive new features and ideas that can change how users interact with apps and google and help developers build them. conduct regular engineering-focused meetings with developers to help them design new systems fix bugs improve ux and solve complex code issues. work on the source code of google s products with other engineers to identify reproduce and/or fix bugs that are affecting developers. ba/bs degree in computer science or equivalent practical experience. experience working directly with partners. programming experience in one or more of the following languages/platforms android java kotlin ios javascript. experience as a software developer architect technology advocate cto or consultant working with web or mobile technologies. experience working with third parties. experience interacting with clients or internal stakeholders. knowledge of web application or mobile application development landscapes.,developer advocate partner engineering work one-on-one top android io web engineer build exciting new product/api integration drive adoption google developer platform conceive new feature idea change user interact apps google help developer build conduct regular engineering-focused meeting developer help design new system fix bug improve ux solve complex code issue work source code google product engineer identify reproduce and/or fix bug affecting developer ba/bs degree computer science equivalent practical experience experience working directly partner programming experience one following languages/platforms android java kotlin io javascript experience software developer architect technology advocate cto consultant working web mobile technology experience working third party experience interacting client internal stakeholder knowledge web application mobile application development landscape,112
JOB00004,Google,"Program Manager, Audio Visual (AV) Deployments",program manager audio visual av deployments,Program Management,"Sunnyvale, CA, United States",2023-02-25,2023-02,True,"Plan requirements with internal customers.
Provide portfolio reports and forecasts to Regional Service Delivery Manager. Manage vendor PM services to usher projects through the entire lifecycle.
Plan finances and tracking across a portfolio of projects.
Ensure that any changes in scope, schedule or cost are managed in accordance with the agreed change order procedures. Interface with cross functional stakeholders to understand and communicate program strategy and priorities.
Ensure project closure processes are completed - including handover to support. Help to validate new and improve existing products by partnering with AV Eng teams. Set operational goals and lead ongoing process and program improvement initiatives.","BA/BS degree or equivalent practical experience.
4 years of experience managing large scale Global AV Deployments.
Experience managing vendors to deliver defined projects.
Experience in Audio/Visual and Video Conferencing design, system integration and resolution.","CTS Certification.
Experience in the construction sector.
Experience with project management software and reporting tools.
Ability to understand technical subjects and emerging technologies and their relevance to the marketplace.
Business management and consulting skills.
Excellent interpersonal and relationship building skills across multiple stakeholders at varying levels.","Program Manager, Audio Visual (AV) Deployments. Plan requirements with internal customers.
Provide portfolio reports and forecasts to Regional Service Delivery Manager. Manage vendor PM services to usher projects through the entire lifecycle.
Plan finances and tracking across a portfolio of projects.
Ensure that any changes in scope, schedule or cost are managed in accordance with the agreed change order procedures. Interface with cross functional stakeholders to understand and communicate program strategy and priorities.
Ensure project closure processes are completed - including handover to support. Help to validate new and improve existing products by partnering with AV Eng teams. Set operational goals and lead ongoing process and program improvement initiatives. BA/BS degree or equivalent practical experience.
4 years of experience managing large scale Global AV Deployments.
Experience managing vendors to deliver defined projects.
Experience in Audio/Visual and Video Conferencing design, system integration and resolution. CTS Certification.
Experience in the construction sector.
Experience with project management software and reporting tools.
Ability to understand technical subjects and emerging technologies and their relevance to the marketplace.
Business management and consulting skills.
Excellent interpersonal and relationship building skills across multiple stakeholders at varying levels.",program manager audio visual av deployments. plan requirements with internal customers. provide portfolio reports and forecasts to regional service delivery manager. manage vendor pm services to usher projects through the entire lifecycle. plan finances and tracking across a portfolio of projects. ensure that any changes in scope schedule or cost are managed in accordance with the agreed change order procedures. interface with cross functional stakeholders to understand and communicate program strategy and priorities. ensure project closure processes are completed - including handover to support. help to validate new and improve existing products by partnering with av eng teams. set operational goals and lead ongoing process and program improvement initiatives. ba/bs degree or equivalent practical experience. 4 years of experience managing large scale global av deployments. experience managing vendors to deliver defined projects. experience in audio/visual and video conferencing design system integration and resolution. cts certification. experience in the construction sector. experience with project management software and reporting tools. ability to understand technical subjects and emerging technologies and their relevance to the marketplace. business management and consulting skills. excellent interpersonal and relationship building skills across multiple stakeholders at varying levels.,program manager audio visual av deployment plan requirement internal customer provide portfolio report forecast regional service delivery manager manage vendor pm service usher project entire lifecycle plan finance tracking across portfolio project ensure change scope schedule cost managed accordance agreed change order procedure interface cross functional stakeholder understand communicate program strategy priority ensure project closure process completed including handover support help validate new improve existing product partnering av eng team set operational goal lead ongoing process program improvement initiative ba/bs degree equivalent practical experience year experience managing large scale global av deployment experience managing vendor deliver defined project experience audio/visual video conferencing design system integration resolution ct certification experience construction sector experience project management software reporting tool ability understand technical subject emerging technology relevance marketplace business management consulting skill excellent interpersonal relationship building skill across multiple stakeholder varying level,139
JOB00005,Google,"Associate Account Strategist (Czech/Slovak), Global Customer Experience",associate account strategist czech/slovak global customer experience,Technical Solutions,"Dublin, Ireland",2024-12-18,2024-12,True,"Communicate with customers via phone and email.
Provide strategic advice and consultation to help our advertisers get the best experience from our advertising products.
Implement creative ways to improve customer relationships. Tailor and share online marketing strategy suggestions.
Work towards strategic goals, while prioritizing and delivering an outstanding customer experience to Google's advertisers.","Bachelor's degree or equivalent practical experience.
Ability to speak and write in English and Czech and/or Slovak fluently and idiomatically.","Experience in sales, customer service, account management, marketing or consulting.
Experience in managing and customizing experience to a specific customer base.
Experience with leading, motivating and working effectively within a team.
Demonstrated ability to multi-task and to manage multiple projects while working in a fast-paced environment.
Ability to work towards strategic goals.
Effective organizational skills, with the ability to work independently and proactively.","Associate Account Strategist (Czech/Slovak), Global Customer Experience. Communicate with customers via phone and email.
Provide strategic advice and consultation to help our advertisers get the best experience from our advertising products.
Implement creative ways to improve customer relationships. Tailor and share online marketing strategy suggestions.
Work towards strategic goals, while prioritizing and delivering an outstanding customer experience to Google's advertisers. Bachelor's degree or equivalent practical experience.
Ability to speak and write in English and Czech and/or Slovak fluently and idiomatically. Experience in sales, customer service, account management, marketing or consulting.
Experience in managing and customizing experience to a specific customer base.
Experience with leading, motivating and working effectively within a team.
Demonstrated ability to multi-task and to manage multiple projects while working in a fast-paced environment.
Ability to work towards strategic goals.
Effective organizational skills, with the ability to work independently and proactively.",associate account strategist czech/slovak global customer experience. communicate with customers via phone and email. provide strategic advice and consultation to help our advertisers get the best experience from our advertising products. implement creative ways to improve customer relationships. tailor and share online marketing strategy suggestions. work towards strategic goals while prioritizing and delivering an outstanding customer experience to google s advertisers. bachelor s degree or equivalent practical experience. ability to speak and write in english and czech and/or slovak fluently and idiomatically. experience in sales customer service account management marketing or consulting. experience in managing and customizing experience to a specific customer base. experience with leading motivating and working effectively within a team. demonstrated ability to multi-task and to manage multiple projects while working in a fast-paced environment. ability to work towards strategic goals. effective organizational skills with the ability to work independently and proactively.,associate account strategist czech/slovak global customer experience communicate customer via phone email provide strategic advice consultation help advertiser get best experience advertising product implement creative way improve customer relationship tailor share online marketing strategy suggestion work towards strategic goal prioritizing delivering outstanding customer experience google advertiser bachelor degree equivalent practical experience ability speak write english czech and/or slovak fluently idiomatically experience sale customer service account management marketing consulting experience managing customizing experience specific customer base experience leading motivating working effectively within team demonstrated ability multi-task manage multiple project working fast-paced environment ability work towards strategic goal effective organizational skill ability work independently proactively,103
JOB00006,Google,"Supplier Development Engineer, Camera, Consumer Hardware",supplier development engineer camera consumer hardware,Hardware Engineering,"Mountain View, CA, United States",2024-06-02,2024-06,True,"Manage cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into Mass Production.
Collaborate with Suppliers and Engineering teams in assessing process technologies based on project requirements and propose and develop manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and more.
Manage project technical and operational issues regarding material, process, fixtures, equipment, etc, during NPI phase.
Utilize DOE’s, FMEA and other industry standard tools to proactively identify and address risks and optimize process parameters.","BS degree in Engineering or equivalent practical experience.
10 years of experience in Design and Manufacturing in a New Product Introduction (NPI) role.
Experience in camera manufacturing.","Master's degree.
Experience in the development of camera module integration processes or other related industries.
Experience managing functional Engineering teams.
Experience in project management including data handling, documentation, critical decision making and organization skills.
Knowledge of Quality and Statistical tools and methods.
Self-starter with innovation, integrity and attention to details.","Supplier Development Engineer, Camera, Consumer Hardware. Manage cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into Mass Production.
Collaborate with Suppliers and Engineering teams in assessing process technologies based on project requirements and propose and develop manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and more.
Manage project technical and operational issues regarding material, process, fixtures, equipment, etc, during NPI phase.
Utilize DOE’s, FMEA and other industry standard tools to proactively identify and address risks and optimize process parameters. BS degree in Engineering or equivalent practical experience.
10 years of experience in Design and Manufacturing in a New Product Introduction (NPI) role.
Experience in camera manufacturing. Master's degree.
Experience in the development of camera module integration processes or other related industries.
Experience managing functional Engineering teams.
Experience in project management including data handling, documentation, critical decision making and organization skills.
Knowledge of Quality and Statistical tools and methods.
Self-starter with innovation, integrity and attention to details.",supplier development engineer camera consumer hardware. manage cross-functional activities in the supply chain for overall technical operational readiness in all npi phases leading into mass production. collaborate with suppliers and engineering teams in assessing process technologies based on project requirements and propose and develop manufacturing blueprint including process flow equipment/fixture designs implementation schedules and more. manage project technical and operational issues regarding material process fixtures equipment etc during npi phase. utilize doe s fmea and other industry standard tools to proactively identify and address risks and optimize process parameters. bs degree in engineering or equivalent practical experience. 10 years of experience in design and manufacturing in a new product introduction npi role. experience in camera manufacturing. master s degree. experience in the development of camera module integration processes or other related industries. experience managing functional engineering teams. experience in project management including data handling documentation critical decision making and organization skills. knowledge of quality and statistical tools and methods. self-starter with innovation integrity and attention to details.,supplier development engineer camera consumer hardware manage cross-functional activity supply chain overall technical operational readiness npi phase leading mass production collaborate supplier engineering team assessing process technology based project requirement propose develop manufacturing blueprint including process flow equipment/fixture design implementation schedule manage project technical operational issue regarding material process fixture equipment etc npi phase utilize doe fmea industry standard tool proactively identify address risk optimize process parameter b degree engineering equivalent practical experience year experience design manufacturing new product introduction npi role experience camera manufacturing master degree experience development camera module integration process related industry experience managing functional engineering team experience project management including data handling documentation critical decision making organization skill knowledge quality statistical tool method self-starter innovation integrity attention detail,122
JOB00007,Google,"Strategic Technology Partner Manager, Healthcare and Life Sciences",strategic technology partner manager healthcare and life sciences,Partnerships,"Sunnyvale, CA, United States",2024-06-22,2024-06,True,"Lead the development and strategy with partners for healthcare and life sciences. Build relationships with our partners and focus on long term, mutually beneficial solutions.
Engage with Product Management, Sales and Engineering teams to align product directions with our external partners.
Work with peer teams to establish partner strategy and priorities that will determine recruiting and partner development focus. Be responsible for recruiting, developing and supporting strategic technology partnerships and the partner ecosystem.
Help partners leverage Google's technology to enhance their own offerings, integrate with them to fill gaps in and extend our product portfolio.
Be the point of contact for partners around key areas (Operations, Financial, Sales, Training, Product Enhancement, etc.) and drive new partnerships, support integration of new products to existing partners, and ensure the prompt and proper resolution of daily business challenges.","BA/BS degree or equivalent practical experience.
5 years of experience in Partner Management and/or Business Development.
Experience working with public cloud solutions across Software-as-a-Service (SaaS), Platform-as-a-Service (PaaS) and Infrastructure-as-a-Service (IaaS) markets.
Experience working with technology solutions for the healthcare industry. Experience within internal and customer-facing roles.","BA/BS degree in a technical, life sciences or engineering field or equivalent practical experience.
5 years of experience working with a variety of technology systems, designing solutions, or developing applications in healthcare and/or life sciences.
8 years of experience in Partnership Management and Strategy/Business Development.
Background in Software Engineering and/or Product Management.
Experience managing and growing relationships with cross-functional teams internally and externally.
Demonstrated ability to plan and manage at a strategic and operational level, and to launch new products in the marketplace.","Strategic Technology Partner Manager, Healthcare and Life Sciences. Lead the development and strategy with partners for healthcare and life sciences. Build relationships with our partners and focus on long term, mutually beneficial solutions.
Engage with Product Management, Sales and Engineering teams to align product directions with our external partners.
Work with peer teams to establish partner strategy and priorities that will determine recruiting and partner development focus. Be responsible for recruiting, developing and supporting strategic technology partnerships and the partner ecosystem.
Help partners leverage Google's technology to enhance their own offerings, integrate with them to fill gaps in and extend our product portfolio.
Be the point of contact for partners around key areas (Operations, Financial, Sales, Training, Product Enhancement, etc.) and drive new partnerships, support integration of new products to existing partners, and ensure the prompt and proper resolution of daily business challenges. BA/BS degree or equivalent practical experience.
5 years of experience in Partner Management and/or Business Development.
Experience working with public cloud solutions across Software-as-a-Service (SaaS), Platform-as-a-Service (PaaS) and Infrastructure-as-a-Service (IaaS) markets.
Experience working with technology solutions for the healthcare industry. Experience within internal and customer-facing roles. BA/BS degree in a technical, life sciences or engineering field or equivalent practical experience.
5 years of experience working with a variety of technology systems, designing solutions, or developing applications in healthcare and/or life sciences.
8 years of experience in Partnership Management and Strategy/Business Development.
Background in Software Engineering and/or Product Management.
Experience managing and growing relationships with cross-functional teams internally and externally.
Demonstrated ability to plan and manage at a strategic and operational level, and to launch new products in the marketplace.",strategic technology partner manager healthcare and life sciences. lead the development and strategy with partners for healthcare and life sciences. build relationships with our partners and focus on long term mutually beneficial solutions. engage with product management sales and engineering teams to align product directions with our external partners. work with peer teams to establish partner strategy and priorities that will determine recruiting and partner development focus. be responsible for recruiting developing and supporting strategic technology partnerships and the partner ecosystem. help partners leverage google s technology to enhance their own offerings integrate with them to fill gaps in and extend our product portfolio. be the point of contact for partners around key areas operations financial sales training product enhancement etc. and drive new partnerships support integration of new products to existing partners and ensure the prompt and proper resolution of daily business challenges. ba/bs degree or equivalent practical experience. 5 years of experience in partner management and/or business development. experience working with public cloud solutions across software-as-a-service saas platform-as-a-service paas and infrastructure-as-a-service iaas markets. experience working with technology solutions for the healthcare industry. experience within internal and customer-facing roles. ba/bs degree in a technical life sciences or engineering field or equivalent practical experience. 5 years of experience working with a variety of technology systems designing solutions or developing applications in healthcare and/or life sciences. 8 years of experience in partnership management and strategy/business development. background in software engineering and/or product management. experience managing and growing relationships with cross-functional teams internally and externally. demonstrated ability to plan and manage at a strategic and operational level and to launch new products in the marketplace.,strategic technology partner manager healthcare life science lead development strategy partner healthcare life science build relationship partner focus long term mutually beneficial solution engage product management sale engineering team align product direction external partner work peer team establish partner strategy priority determine recruiting partner development focus responsible recruiting developing supporting strategic technology partnership partner ecosystem help partner leverage google technology enhance offering integrate fill gap extend product portfolio point contact partner around key area operation financial sale training product enhancement etc drive new partnership support integration new product existing partner ensure prompt proper resolution daily business challenge ba/bs degree equivalent practical experience year experience partner management and/or business development experience working public cloud solution across software-as-a-service saas platform-as-a-service paas infrastructure-as-a-service iaa market experience working technology solution healthcare industry experience within internal customer-facing role ba/bs degree technical life science engineering field equivalent practical experience year experience working variety technology system designing solution developing application healthcare and/or life science year experience partnership management strategy/business development background software engineering and/or product management experience managing growing relationship cross-functional team internally externally demonstrated ability plan manage strategic operational level launch new product marketplace,188
